profile_id,module_path,invocation_index,shape,dtype,epsilon,elementwise_affine,input_sha256,output_sha256,input_stats,output_stats
action_dit_norm3,action_head.model.transformer_blocks.0.norm3,0,"[1, 41, 1536]",bfloat16,1e-05,False,d4776086c5371681f1079b01ce903ce77f87b6a3c3b88f79d97291a0ed8ed251,d7e3e4f81aa782f3d960beeb8607598e96930dedde4fb0db54e3151b006e98e6,"{""inf_count"": 0, ""max"": 3.453125, ""mean"": 0.003208643291145563, ""min"": -3.4375, ""nan_count"": 0, ""std"": 0.397208034992218, ""zero_count"": 50}","{""inf_count"": 0, ""max"": 5.28125, ""mean"": -1.7137546819867566e-05, ""min"": -7.5625, ""nan_count"": 0, ""std"": 0.9999601244926453, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.1.norm1.norm,1,"[1, 41, 1536]",bfloat16,1e-05,False,f246e0c0dd90624ab7a26268a9e9b85412951263de212e1755e25cfe3d21cf37,da937e958457841f6c18dc7c2e8bf2f52a0abc0a7dec37d5dc584456243cefd4,"{""inf_count"": 0, ""max"": 142.0, ""mean"": 0.0854293629527092, ""min"": -125.0, ""nan_count"": 0, ""std"": 4.78736686706543, ""zero_count"": 23}","{""inf_count"": 0, ""max"": 21.0, ""mean"": 7.044735866656993e-06, ""min"": -21.375, ""nan_count"": 0, ""std"": 1.0000288486480713, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.1.norm3,1,"[1, 41, 1536]",bfloat16,1e-05,False,65f88c77d9a92b5a7178e6060f256ad7520cf736c3f1d7cb2febfe2732570243,85578f7e084330cc3c19ce1dcf1e7c53069822ea87a22680a04590f10a20929e,"{""inf_count"": 0, ""max"": 129.0, ""mean"": 0.09202422201633453, ""min"": -120.5, ""nan_count"": 0, ""std"": 4.597373962402344, ""zero_count"": 55}","{""inf_count"": 0, ""max"": 21.0, ""mean"": 6.24952281214064e-06, ""min"": -20.0, ""nan_count"": 0, ""std"": 1.0000758171081543, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.2.norm1.norm,2,"[1, 41, 1536]",bfloat16,1e-05,False,92e14805a8f0cebcf0eff1c6f55ba8332fc2ca182869d5ad2ef115817de015f5,2b68d150a375889e994b689ca46363497776519a44995ee4fe95faa58bfd8f8a,"{""inf_count"": 0, ""max"": 125.5, ""mean"": 0.07934574782848358, ""min"": -119.5, ""nan_count"": 0, ""std"": 4.230397701263428, ""zero_count"": 35}","{""inf_count"": 0, ""max"": 18.25, ""mean"": 8.921312655729707e-06, ""min"": -15.6875, ""nan_count"": 0, ""std"": 0.999963641166687, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.2.norm3,2,"[1, 41, 1536]",bfloat16,1e-05,False,bb648c8585ca21a13adcf6de56aea8164955ce34bcc18f43534c5e279d9f6fd3,8850c298c0f8f9e27bdaa665b9937f680ab95e0b14bf183a32fcce64c086ca3f,"{""inf_count"": 0, ""max"": 129.0, ""mean"": 0.08330088108778, ""min"": -122.0, ""nan_count"": 0, ""std"": 4.259809970855713, ""zero_count"": 14}","{""inf_count"": 0, ""max"": 18.125, ""mean"": 1.3671512533619534e-05, ""min"": -15.6875, ""nan_count"": 0, ""std"": 1.000083088874817, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.3.norm1.norm,3,"[1, 41, 1536]",bfloat16,1e-05,False,088a6d1589ccdd987f987b4351615786396fafb61dc52f9e4edc493bb54de4cc,d8b61905c5a5680957934117990a8b918c7f151dddbd1dc42832582b4c7c6fdd,"{""inf_count"": 0, ""max"": 268.0, ""mean"": 0.11970207095146179, ""min"": -238.0, ""nan_count"": 0, ""std"": 6.100534915924072, ""zero_count"": 17}","{""inf_count"": 0, ""max"": 19.5, ""mean"": 2.148311295968597e-06, ""min"": -14.375, ""nan_count"": 0, ""std"": 0.9999750852584839, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.3.norm3,3,"[1, 41, 1536]",bfloat16,1e-05,False,330e950f99207471790ca9f8224babdd1db97cfc2c2750c6782588990f956488,d3596f95022565b6f04aca43aa277f1d05d7c79b44871d03a2ee56b29cbf2f9c,"{""inf_count"": 0, ""max"": 246.0, ""mean"": 0.11127205193042755, ""min"": -226.0, ""nan_count"": 0, ""std"": 5.544148921966553, ""zero_count"": 16}","{""inf_count"": 0, ""max"": 18.125, ""mean"": -2.951156830022228e-07, ""min"": -14.375, ""nan_count"": 0, ""std"": 0.999970018863678, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.4.norm1.norm,4,"[1, 41, 1536]",bfloat16,1e-05,False,018902cce78aa066f3fee6ac35c290bf2d980447a19a3f6737c6dde095c67285,cb98407b273459a84b2a45a6964261b8fadc3f1e72bdfabb651d1880e783665d,"{""inf_count"": 0, ""max"": 340.0, ""mean"": 0.14519843459129333, ""min"": -298.0, ""nan_count"": 0, ""std"": 7.102176666259766, ""zero_count"": 19}","{""inf_count"": 0, ""max"": 20.25, ""mean"": -1.1287690540484618e-05, ""min"": -14.25, ""nan_count"": 0, ""std"": 0.9999516010284424, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.4.norm3,4,"[1, 41, 1536]",bfloat16,1e-05,False,0475d3c6442eb18d16c7eb659a48d7eafd645af4efa98a51746cf358b8bdefc8,a93a70167e664ed54737b1064d6be5946a727724de971b167015795f2cad48a6,"{""inf_count"": 0, ""max"": 342.0, ""mean"": 0.13836905360221863, ""min"": -300.0, ""nan_count"": 0, ""std"": 7.203624725341797, ""zero_count"": 11}","{""inf_count"": 0, ""max"": 20.25, ""mean"": -7.632302185811568e-07, ""min"": -14.25, ""nan_count"": 0, ""std"": 1.0000461339950562, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.5.norm1.norm,5,"[1, 41, 1536]",bfloat16,1e-05,False,2f9bff19d61473f06161b5f54c649c07ac1115de476bf5b1bee11423eec33660,331c74bc1d3c93991ebe4665e7ab862e71ec1bb7a2724cbc1b7a1a558584d504,"{""inf_count"": 0, ""max"": 412.0, ""mean"": 0.15410198271274567, ""min"": -368.0, ""nan_count"": 0, ""std"": 8.594964981079102, ""zero_count"": 9}","{""inf_count"": 0, ""max"": 20.375, ""mean"": 4.709493623522576e-06, ""min"": -14.125, ""nan_count"": 0, ""std"": 1.000057578086853, ""zero_count"": 0}"
